seed,ga_best_objective,ga_best_open_branches,post_local_best_objective,post_local_best_open_branches,evaluated_unique_candidates_after_seed
101,751.4529623146632,9-14-28-31-33,751.4529623146632,9-14-28-31-33,487
202,759.2064949410603,10-14-28-31-33,751.4529623146632,9-14-28-31-33,817
303,751.4529623146632,9-14-28-31-33,751.4529623146632,9-14-28-31-33,1121
404,751.4529623146632,9-14-28-31-33,751.4529623146632,9-14-28-31-33,1375
505,751.4529623146632,9-14-28-31-33,751.4529623146632,9-14-28-31-33,1615
