,objective,EENS_MWh,CVaR_MWh,Expected_RI,SAIDI_h_per_customer,ASAI
count,1615.0,1615.0,1615.0,1615.0,1615.0,1615.0
mean,1264.314756553352,1.7511276984878947,8.51424280396177,0.8348590497098051,0.530001535116287,0.9999394975416533
std,570.819424560211,0.7185217309145879,3.076324502134293,0.09615977612751325,0.2215244548452788,2.5288179776857696e-05
min,751.4529623146632,1.0391804606567123,4.849059585227885,0.5185900127857584,0.3028125760671514,0.9998525545436885
25%,902.019904031846,1.2929080475206776,6.44835539419961,0.7830762281243737,0.3771536120373913,0.9999310194078059
50%,1010.293234386758,1.4502630732839592,7.434787298133752,0.8848545407417828,0.43740548917501076,0.9999500678665325
75%,1382.7633938829433,1.8843600386796704,9.38144166216727,0.9013283948631436,0.6042699876200833,0.9999569459346989
max,3137.6767262285884,4.1400328613220365,18.06492831128761,0.9245407403115548,1.2916221972892485,0.9999654323543302
