,objective,EENS_MWh,CVaR_MWh,Expected_RI,SAIDI_h_per_customer,ASAI
count,4055.0,4055.0,4055.0,4055.0,4055.0,4055.0
mean,1672.7598554782774,1.7034003137755358,7.669230237993218,0.8542648653723933,0.6587581878065466,0.9999247992936293
std,722.1750608001518,0.843721339154279,2.36725298894774,0.11478736225772182,0.2721584927131143,3.106832108597198e-05
min,994.3430551790937,0.9080670990205174,5.5923940154878595,0.45631178464750666,0.3950642302899138,0.9998102149410708
25%,1046.7539810005483,0.9801492182221893,5.790901701862201,0.8189740173065341,0.4259281319227131,0.999901706367143
50%,1438.1994723792582,1.3976802928863266,6.9945002088401065,0.9098076374810011,0.5383648559003832,0.9999385428246689
75%,2270.551053012721,2.4728675091071803,8.665970234540637,0.9298501884006922,0.8610522238269155,0.9999513780671321
max,4698.428776246642,5.197108427940305,18.609338734587,0.9380325143333859,1.6625171162196168,0.9999549013435742
