seed,ga_best_objective,ga_best_open_branches,post_local_best_objective,post_local_best_open_branches,evaluated_unique_candidates_after_seed
101,994.3430551790937,20-58-61-69-71,994.3430551790937,20-58-61-69-71,1107
202,994.3430551790937,20-58-61-69-71,994.3430551790937,20-58-61-69-71,1886
303,994.3430551790937,20-58-61-69-71,994.3430551790937,20-58-61-69-71,2677
404,994.3430551790937,20-58-61-69-71,994.3430551790937,20-58-61-69-71,3354
505,994.3430551790937,20-58-61-69-71,994.3430551790937,20-58-61-69-71,4055
