seed,generation,generation_best_objective,generation_best_open_branches,global_best_objective,global_best_open_branches,evaluated_unique_candidates
404,24,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,3281
404,25,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,3299
404,26,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,3318
404,27,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,3331
404,28,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,3346
505,0,766.5129648352636,14-38-45-56-63,766.5129648352636,14-38-45-56-63,3475
505,1,734.1086908434521,16-45-56-61-69,734.1086908434521,16-45-56-61-69,3512
505,2,727.5065181989119,19-45-56-61-69,727.5065181989119,19-45-56-61-69,3548
505,3,727.5065181989119,19-45-56-61-69,727.5065181989119,19-45-56-61-69,3581
505,4,725.547889041244,16-56-61-69-71,725.547889041244,16-56-61-69-71,3612
505,5,725.547889041244,16-56-61-69-71,725.547889041244,16-56-61-69-71,3640
505,6,725.547889041244,16-56-61-69-71,725.547889041244,16-56-61-69-71,3668
505,7,718.9070865613608,19-56-61-69-71,718.9070865613608,19-56-61-69-71,3693
505,8,718.9070865613608,19-56-61-69-71,718.9070865613608,19-56-61-69-71,3714
505,9,718.9070865613608,19-56-61-69-71,718.9070865613608,19-56-61-69-71,3738
505,10,718.9070865613608,19-56-61-69-71,718.9070865613608,19-56-61-69-71,3756
505,11,716.092440359102,19-57-61-69-71,716.092440359102,19-57-61-69-71,3774
505,12,716.092440359102,19-57-61-69-71,716.092440359102,19-57-61-69-71,3791
505,13,716.092440359102,19-57-61-69-71,716.092440359102,19-57-61-69-71,3810
505,14,716.092440359102,19-57-61-69-71,716.092440359102,19-57-61-69-71,3824
505,15,716.092440359102,19-57-61-69-71,716.092440359102,19-57-61-69-71,3839
505,16,713.1140916959528,19-58-61-69-71,713.1140916959528,19-58-61-69-71,3857
505,17,713.1140916959528,19-58-61-69-71,713.1140916959528,19-58-61-69-71,3873
505,18,713.1140916959528,19-58-61-69-71,713.1140916959528,19-58-61-69-71,3892
505,19,713.1140916959528,19-58-61-69-71,713.1140916959528,19-58-61-69-71,3904
505,20,713.1140916959528,19-58-61-69-71,713.1140916959528,19-58-61-69-71,3915
505,21,713.1140916959528,19-58-61-69-71,713.1140916959528,19-58-61-69-71,3935
505,22,713.1140916959528,19-58-61-69-71,713.1140916959528,19-58-61-69-71,3947
505,23,713.1140916959528,19-58-61-69-71,713.1140916959528,19-58-61-69-71,3961
505,24,713.1140916959528,19-58-61-69-71,713.1140916959528,19-58-61-69-71,3975
505,25,713.1140916959528,19-58-61-69-71,713.1140916959528,19-58-61-69-71,3990
505,26,713.1140916959528,19-58-61-69-71,713.1140916959528,19-58-61-69-71,4002
505,27,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,4011
505,28,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,4021
