,objective,EENS_MWh,CVaR_MWh,Expected_RI,SAIDI_h_per_customer,ASAI
count,4021.0,4021.0,4021.0,4021.0,4021.0,4021.0
mean,1295.7676071939975,1.7108080262881795,7.70380440915496,0.8537057929399582,0.6619639909223712,0.9999244333343695
std,619.8933409051012,0.8524562004186675,2.415422653655168,0.11548991104399416,0.2744587613340011,3.1330908828081416e-05
min,712.8468872983563,0.9080670990205174,5.5923940154878595,0.4565603870549661,0.3950642302899138,0.9998102149410708
25%,758.4425814517531,0.9789428036714238,5.791420895947857,0.8190703080972461,0.42574292350893705,0.9998977820028575
50%,1086.8790848927536,1.3935779570472009,7.011733244120082,0.9098014718627532,0.5385270255510017,0.9999385243121517
75%,1851.20011097212,2.4835390615442883,8.7163418092368,0.9299415658690489,0.8954296549685218,0.9999513992096452
max,3767.9618395172924,5.197108427940305,18.609338734587,0.9380325143333859,1.6625171162196168,0.9999549013435742
