seed,ga_best_objective,ga_best_open_branches,post_local_best_objective,post_local_best_open_branches,evaluated_unique_candidates_after_seed
101,410.2757455624217,10-20-58-61-71,410.2757455624217,10-20-58-61-71,1099
202,410.2757455624217,10-20-58-61-71,410.2757455624217,10-20-58-61-71,1902
303,410.2757455624217,10-20-58-61-71,410.2757455624217,10-20-58-61-71,2676
404,410.2757455624217,10-20-58-61-71,410.2757455624217,10-20-58-61-71,3361
505,410.2757455624217,10-20-58-61-71,410.2757455624217,10-20-58-61-71,4028
