seed,ga_best_objective,ga_best_open_branches,post_local_best_objective,post_local_best_open_branches,evaluated_unique_candidates_after_seed
101,471.6223054652521,6-10-32-34-37,471.6223054652521,6-10-32-34-37,509
202,471.6223054652521,6-10-32-34-37,471.6223054652521,6-10-32-34-37,895
303,471.6223054652521,6-10-32-34-37,471.6223054652521,6-10-32-34-37,1233
404,471.6223054652521,6-10-32-34-37,471.6223054652521,6-10-32-34-37,1485
505,471.6223054652521,6-10-32-34-37,471.6223054652521,6-10-32-34-37,1762
