case,scenario,name,probability,failed_branch,duration_h,load_scale,renewable_scale,ENS_puh,ENS_MWh,RI,total_Pshed_MW,total_Qshed_Mvar,total_Pren_MW,total_Pcurt_MW,total_Pbat_MW,interrupted_customers
ieee33,0,normal_operation,0.6,-1,1.0,1.0,0.85,0.0,0.0,1.0000000000000004,0.0,0.0,1.1052125,0.0,0.5293874999999999,0.0
ieee33,1,outage_branch_31,0.03636363636363637,31,4.347787159993379,1.1059007165350858,0.4188852286179467,0.12354175785788196,1.2354175785788195,0.9367884827556592,0.28414858711269136,0.14519636274705752,0.5446555185104852,0.0,0.12176021514374363,27.0
ieee33,2,outage_branch_18,0.03636363636363637,18,4.953017621429326,1.1386631455956722,0.437344505711287,0.8754332536079803,8.754332536079803,0.6615234273200634,1.7674745387951007,1.0039702417616398,0.4264928951633257,0.14216429838777525,0.0,169.0
ieee33,3,outage_branch_22,0.03636363636363637,22,3.45660002424391,0.9074071354162442,0.5114711700398825,0.29169854794393646,2.9169854794393646,0.6289978678038379,0.843888635937107,0.4083332109373099,0.49878029163326787,0.1662600972110893,0.15315266339379174,93.0
ieee33,4,outage_branch_10,0.03636363636363637,10,3.298748980744011,0.9503574377978616,0.6740762153897067,0.0,0.0,1.0,0.0,0.0,0.8764675990604662,0.0,0.16048129248094534,0.0
ieee33,5,outage_branch_25,0.03636363636363637,25,2.6402351070962604,0.9595592698010511,0.10482691931172787,0.2178777381462813,2.178777381462813,0.7640369580668089,0.8252209720289039,0.8731989355189564,0.10222590137630563,0.03407530045876854,0.20050771182352095,86.0
ieee33,6,outage_branch_5,0.03636363636363637,5,3.6101398586488775,0.8931877707116247,0.5964617773450986,0.2966570150519469,2.9665701505194693,0.7213930348258706,0.8217327490546946,0.8306646267618111,0.38777471299648225,0.38777471299648225,0.14663905575063435,92.0
ieee33,7,outage_branch_30,0.03636363636363637,30,3.7456870443156736,0.8631118250328543,0.5105539202713915,0.11638608410956389,1.1638608410956388,0.9488272921108742,0.31072025701182754,0.1467290102555852,0.6638477348328768,0.0,0.1413325496061878,36.0
ieee33,8,outage_branch_3,0.03636363636363637,3,3.183043002452127,0.9991217395854296,0.809699406012264,0.3498272207963718,3.498272207963718,0.6958066808813079,1.0990339135439724,1.0390866091688469,0.5264058263337231,0.5264058263337231,0.16631490670788132,110.0
ieee33,9,outage_branch_24,0.03636363636363637,24,4.669647767698806,1.067848559743872,0.4431061408517627,0.22978784223990162,2.297878422399016,0.9112849632593151,0.49208816953905,0.27453353826748633,0.5761487596425044,0.0,0.11336775841251107,68.0
ieee33,10,outage_branch_8,0.03636363636363637,8,5.362653385876183,0.9430048268065525,0.07840366748917292,0.07344898184452986,0.7344898184452986,0.9650021520783896,0.13696388067514328,0.10612236852272491,0.10194436865279709,0.0,0.09871745606275191,38.0
ieee33,11,outage_branch_23,0.03636363636363637,23,3.3304725566788864,0.9929425323312885,0.5596427781850251,0.27778529976024185,2.7778529976024187,0.641791044776119,0.8340717271582822,0.3971770129325154,0.5457566417513091,0.1819188805837697,0.15895266842489758,84.0
