,objective,EENS_MWh,CVaR_MWh,Expected_RI,SAIDI_h_per_customer,ASAI
count,1762.0,1762.0,1762.0,1762.0,1762.0,1762.0
mean,794.0560041983691,1.668317163730481,9.409944620570124,0.8452509561433672,0.5019815246256398,0.999942696172988
std,407.11076972409586,0.6909727686170348,3.2614700005822708,0.09271034052212694,0.2144563764105937,2.4481321508056968e-05
min,471.6223054652521,1.0372522695849586,4.923750733267123,0.5199422426311345,0.3028125760671514,0.9998584704513813
25%,544.7001628687049,1.2439441308790584,7.526016740712715,0.8087302231402062,0.3580494096165289,0.9999382845832137
50%,633.7979618924962,1.418922959564747,8.526416626869477,0.887737987838846,0.4216402579569507,0.9999518675504615
75%,819.857745591376,1.7198368036681366,10.322006651524102,0.9068514270716707,0.5406270510490269,0.9999591267797241
max,2236.845429655737,4.144056639590053,20.38794432940215,0.9257540068929827,1.2397988458999079,0.9999654323543302
