seed,generation,generation_best_objective,generation_best_open_branches,global_best_objective,global_best_open_branches,evaluated_unique_candidates
505,11,719.2315744906227,18-56-61-69-71,719.2315744906227,18-56-61-69-71,3672
505,12,719.2315744906227,18-56-61-69-71,719.2315744906227,18-56-61-69-71,3689
505,13,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,3703
505,14,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,3719
505,15,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,3737
505,16,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,3753
505,17,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,3768
505,18,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,3789
505,19,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,3802
505,20,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,3807
505,21,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,3818
505,22,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,3831
505,23,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,3841
505,24,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,3854
505,25,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,3864
505,26,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,3879
505,27,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,3893
505,28,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,3905
