,objective,EENS_MWh,CVaR_MWh,Expected_RI,SAIDI_h_per_customer,ASAI
count,3905.0,3905.0,3905.0,3905.0,3905.0,3905.0
mean,1300.0980519660561,1.7180064057450446,7.7210895350461,0.8528304866497879,0.6641493614511074,0.9999241838628481
std,620.1458856040468,0.8562127383433201,2.398647757821646,0.11558178671381819,0.2770728934301912,3.16293257340395e-05
min,712.8468872983563,0.9080670990205174,5.5923940154878595,0.4565603870549661,0.3950642302899138,0.9998102149410708
25%,756.7121584718564,0.9757826716797069,5.791420895947857,0.8187894863287332,0.4252803486466133,0.9998969975415892
50%,1088.7058026009581,1.3952254410832157,7.026497616887186,0.9096998884002186,0.5377475878454936,0.9999386132890588
75%,1856.0132709091936,2.524214417336893,8.758683110742878,0.9299502604652318,0.9023015356783561,0.9999514520149947
max,3767.9618395172924,5.197108427940305,18.609338734587,0.9380325143333859,1.6625171162196168,0.9999549013435742
