seed,ga_best_objective,ga_best_open_branches,post_local_best_objective,post_local_best_open_branches,evaluated_unique_candidates_after_seed
101,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,1122
202,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,1864
303,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,2598
404,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,3235
505,712.8468872983563,20-58-61-69-71,712.8468872983563,20-58-61-69-71,3905
