,objective,EENS_MWh,CVaR_MWh,Expected_RI,SAIDI_h_per_customer,ASAI
count,1724.0,1724.0,1724.0,1724.0,1724.0,1724.0
mean,1677.1294699304683,1.7471314534912716,8.424823243648847,0.8370687465045115,0.5293228072133533,0.9999395750220077
std,706.3755884062472,0.7041786820385196,3.0264909213834557,0.0944941170048079,0.21705145168154266,2.477756297734583e-05
min,995.422937466587,1.0391804606567123,4.849059585227885,0.5185900127857584,0.30642675963662436,0.9998570764192515
25%,1235.4551249622425,1.3091841549658052,6.338086686884864,0.7871751847969898,0.38190149485706787,0.9999319283564336
50%,1371.6154489139099,1.4549695364488466,7.344898915547102,0.8859121776001564,0.4403490829955683,0.9999497318398407
75%,1821.192906209216,1.8654143550844502,9.398594805772266,0.9005723264838561,0.5963075976418709,0.9999564039389433
max,4038.219351033209,4.1400328613220365,18.085155215182574,0.9245407403115548,1.2520105673573663,0.9999650197762971
