seed,ga_best_objective,ga_best_open_branches,post_local_best_objective,post_local_best_open_branches,evaluated_unique_candidates_after_seed
101,772.9064173721792,9-14-26-31-33,751.4529623146632,9-14-28-31-33,556
202,751.4529623146632,9-14-28-31-33,751.4529623146632,9-14-28-31-33,938
303,751.4529623146632,9-14-28-31-33,751.4529623146632,9-14-28-31-33,1255
404,751.4529623146632,9-14-28-31-33,751.4529623146632,9-14-28-31-33,1521
505,751.4529623146632,9-14-28-31-33,751.4529623146632,9-14-28-31-33,1794
