,objective,EENS_MWh,CVaR_MWh,Expected_RI,SAIDI_h_per_customer,ASAI
count,1794.0,1794.0,1794.0,1794.0,1794.0,1794.0
mean,1241.292119680946,1.7142478745118146,8.455295336891732,0.8395667036663417,0.5178059597898018,0.9999408897306176
std,549.9063267939752,0.6978543267577882,2.9331313607665357,0.09383878386512537,0.21589378389592281,2.4645409120538597e-05
min,751.4529623146632,1.0391804606567123,4.849059585227885,0.5185900127857584,0.30364922186446514,0.9998591480126692
25%,901.2680560263443,1.2719308387228871,6.559543285132257,0.7921127885152934,0.3681370219695629,0.9999341588149815
50%,1007.8654588786899,1.4387943653268132,7.551170290907891,0.8859948299583766,0.43522206258882756,0.9999503171161428
75%,1349.4287945590997,1.8448238947187565,9.273947090256897,0.902388350015161,0.5767687807617916,0.9999579752258025
max,3137.6767262285884,4.1400328613220365,18.095707993808077,0.9245407403115548,1.2338634090175733,0.9999653368468191
